date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-23,HEROMOTOCO,BUY,0.6689,STRONG,0.6689,0.1705,0.1606,0.05,Auto
2026-03-23,JSWSTEEL,BUY,0.6501,STRONG,0.6501,0.1826,0.1673,0.05,Metals
2026-03-23,ADANIENT,BUY,0.6453,STRONG,0.6453,0.1995,0.1553,0.05,Conglomerate
2026-03-23,BAJAJ-AUTO,BUY,0.6384,STRONG,0.6384,0.2019,0.1597,0.05,Auto
2026-03-23,GRASIM,BUY,0.6326,STRONG,0.6326,0.2078,0.1596,0.05,Cement
2026-03-23,BAJAJFINSV,BUY,0.6251,STRONG,0.6251,0.2157,0.1592,0.05,Financial Services
2026-03-23,NTPC,BUY,0.6104,STRONG,0.6104,0.1928,0.1968,0.05,Power
2026-03-23,UPL,BUY,0.6094,STRONG,0.6094,0.186,0.2047,0.05,Chemicals
2026-03-23,M&M,BUY,0.5966,STRONG,0.5966,0.237,0.1663,0.05,Auto
2026-03-23,KOTAKBANK,BUY,0.5882,STRONG,0.5882,0.247,0.1648,0.05,Banking
2026-03-23,EICHERMOT,BUY,0.5932,STRONG,0.5932,0.2517,0.1551,,Auto
2026-03-23,ICICIBANK,BUY,0.5844,STRONG,0.5844,0.2664,0.1491,,Banking
2026-03-23,WIPRO,BUY,0.5771,STRONG,0.5771,0.1729,0.2499,,IT
2026-03-23,HINDALCO,BUY,0.5737,STRONG,0.5737,0.2086,0.2177,,Metals
2026-03-23,SBIN,BUY,0.5731,STRONG,0.5731,0.2675,0.1594,,Banking
2026-03-23,TATASTEEL,BUY,0.5686,STRONG,0.5686,0.1843,0.2472,,Metals
2026-03-23,HDFCBANK,BUY,0.5667,STRONG,0.5667,0.2275,0.2058,,Banking
2026-03-23,ADANIPORTS,BUY,0.5657,STRONG,0.5657,0.266,0.1684,,Infrastructure
2026-03-23,BAJFINANCE,BUY,0.562,STRONG,0.562,0.2813,0.1567,,Financial Services
2026-03-23,APOLLOHOSP,BUY,0.5564,STRONG,0.5564,0.2882,0.1554,,Healthcare
2026-03-23,INDUSINDBK,BUY,0.5553,STRONG,0.5553,0.2211,0.2235,,Banking
2026-03-23,ULTRACEMCO,BUY,0.5545,STRONG,0.5545,0.2665,0.179,,Cement
2026-03-23,LT,BUY,0.5419,MODERATE,0.5419,0.2826,0.1755,,Infrastructure
2026-03-23,POWERGRID,BUY,0.5385,MODERATE,0.5385,0.2415,0.22,,Power
2026-03-23,MARUTI,BUY,0.526,MODERATE,0.526,0.2805,0.1935,,Auto
2026-03-23,TITAN,BUY,0.5191,MODERATE,0.5191,0.3351,0.1458,,Consumer Goods
2026-03-23,DIVISLAB,BUY,0.5112,MODERATE,0.5112,0.2998,0.189,,Pharma
2026-03-23,SBILIFE,BUY,0.5037,MODERATE,0.5037,0.3475,0.1488,,Insurance
2026-03-23,COALINDIA,BUY,0.5002,MODERATE,0.5002,0.2595,0.2403,,Mining
2026-03-23,BHARTIARTL,BUY,0.4967,MODERATE,0.4967,0.3103,0.193,,Telecom
2026-03-23,AXISBANK,BUY,0.4959,MODERATE,0.4959,0.3429,0.1612,,Banking
2026-03-23,DRREDDY,BUY,0.4865,MODERATE,0.4865,0.2376,0.2759,,Pharma
2026-03-23,TATACONSUM,BUY,0.4734,MODERATE,0.4734,0.3202,0.2065,,FMCG
2026-03-23,CIPLA,BUY,0.4724,MODERATE,0.4724,0.2927,0.2349,,Pharma
2026-03-23,ASIANPAINT,BUY,0.4716,MODERATE,0.4716,0.3609,0.1675,,Consumer Goods
2026-03-23,RELIANCE,BUY,0.4698,MODERATE,0.4698,0.2917,0.2385,,Conglomerate
2026-03-23,LTIM,BUY,0.4648,MODERATE,0.4648,0.2542,0.281,,IT
2026-03-23,HCLTECH,BUY,0.4584,MODERATE,0.4584,0.2627,0.2789,,IT
2026-03-23,BPCL,BUY,0.4574,MODERATE,0.4574,0.2198,0.3228,,Oil & Gas
2026-03-23,HINDUNILVR,HOLD,0.4565,WEAK,0.3936,0.4565,0.1499,,FMCG
2026-03-23,TCS,HOLD,0.446,WEAK,0.3818,0.446,0.1722,,IT
2026-03-23,NESTLEIND,HOLD,0.4377,WEAK,0.4142,0.4377,0.1481,,FMCG
2026-03-23,BRITANNIA,HOLD,0.4032,WEAK,0.4877,0.4032,0.1092,,FMCG
2026-03-23,SUNPHARMA,HOLD,0.3869,WEAK,0.3569,0.3869,0.2562,,Pharma
2026-03-23,HDFCLIFE,HOLD,0.3868,WEAK,0.4489,0.3868,0.1642,,Insurance
2026-03-23,ITC,HOLD,0.3374,WEAK,0.437,0.3374,0.2256,,FMCG
2026-03-23,INFY,HOLD,0.3265,WEAK,0.4412,0.3265,0.2323,,IT
2026-03-23,TECHM,HOLD,0.3217,WEAK,0.3924,0.3217,0.2859,,IT
2026-03-23,ONGC,HOLD,0.2298,WEAK,0.4481,0.2298,0.322,,Oil & Gas
